"crack_rot [deg]","Freq [GHz]","dB(S(2,1)) []"
0,1.896,-104.067932654486
0,1.902,-103.766354113308
0,1.908,-103.407796574698
0,1.914,-103.000019175224
0,1.92,-102.551634603014
0,1.926,-102.071303947787
0,1.932,-101.567136025016
0,1.938,-101.046319286008
0,1.944,-100.514957541109
0,1.95,-99.9780550794268
0,1.956,-99.4395949020061
0,1.962,-98.9026643022356
0,1.968,-98.3695959838723
0,1.974,-97.8421054019525
0,1.98,-97.3214143000351
0,1.986,-96.8083565024305
0,1.992,-96.3034655905609
0,1.998,-95.8070459375169
0,2.004,-95.3192293465482
0,2.01,-94.8400197007909
0,2.016,-94.3693278814301
0,2.022,-93.906998927849
0,2.028,-93.4528330948038
0,2.034,-93.0066021580774
0,2.04,-92.5680620529234
0,2.046,-92.1369627049815
0,2.052,-91.7130557295448
0,2.058,-91.2961005268956
0,2.064,-90.8858691824586
0,2.07,-90.4821504840544
0,2.076,-90.0847532879556
0,2.082,-89.6935093940005
0,2.088,-89.3082760203209
0,2.094,-88.9289378913451
0,2.1,-88.5554088566678
0,2.106,-88.1876328258704
0,2.112,-87.8255836091559
0,2.118,-87.4692629545578
0,2.124,-87.1186956035073
0,2.13,-86.7739194408218
0,2.136,-86.4349676179107
0,2.142,-86.1018375923802
0,2.148,-85.7744388826452
0,2.154,-85.4525062165063
0,2.16,-85.1354564355096
0,2.166,-84.8221541360696
0,2.172,-84.5105300011421
0,2.178,-84.1969643658171
0,2.184,-83.8753066507172
0,2.19,-83.5353605367414
0,2.196,-83.1606730600787
0,2.202,-82.7256591967759
0,2.208,-82.1927596197077
0,2.214,-81.5118180835632
0,2.22,-80.6258583341644
0,2.226,-79.4873879930579
0,2.232,-78.0830651915755
0,2.238,-76.4541751794321
0,2.244,-74.6989855852339
0,2.25,-72.9544247782895
0,2.256,-71.3617767772284
0,2.262,-70.0225142081828
0,2.268,-68.9639600195753
0,2.274,-68.1418099098099
0,2.28,-67.4761121604585
0,2.286,-66.8878915645788
0,2.292,-66.316109332342
0,2.298,-65.71843514847
0,2.304,-65.0657341627955
0,2.31,-64.3360361460233
0,2.316,-63.5096224404465
0,2.322,-62.5650113361736
0,2.328,-61.4750275248088
0,2.334,-60.2018218175714
0,2.34,-58.689077608702
0,2.346,-56.8481711738741
0,2.352,-54.5325588774094
0,2.358,-51.5011183746372
0,2.364,-47.5589364814766
0,2.37,-44.9755278777029
0,2.376,-48.0891106639673
0,2.382,-51.9093669640243
0,2.388,-54.8125789721574
0,2.394,-57.04230789584
0,2.4,-58.8275985199963
0,2.406,-60.3069073225706
0,2.412,-61.5649826780844
0,2.418,-62.6564034754471
0,2.424,-63.6180828789942
0,2.43,-64.4760492717736
0,2.436,-65.2493047140704
0,2.442,-65.9521296773446
0,2.448,-66.5955211352789
0,2.454,-67.1881247574645
0,2.46,-67.7368594998879
0,2.466,-68.2473483137604
0,2.472,-68.7242227239724
0,2.478,-69.1713430326219
0,2.484,-69.5919606690246
0,2.49,-69.9888399900873
0,2.496,-70.3643510954493
0,2.502,-70.7205415546218
0,2.508,-71.0591925451039
0,2.514,-71.3818632986473
0,2.52,-71.6899266623145
0,2.526,-71.9845978254379
0,2.532,-72.2669577317076
0,2.538,-72.5379723156425
0,2.544,-72.7985084275438
0,2.55,-73.0493471092755
0,2.556,-73.2911947335497
0,2.562,-73.52469240717
0,2.568,-73.7504239536837
0,2.574,-73.9689227259022
0,2.58,-74.1806774486235
0,2.586,-74.3861372529031
0,2.592,-74.585716032666
0,2.598,-74.7797962303265
0,2.604,-74.9687321389018
0,2.61,-75.1528527927525
0,2.616,-75.3324645067241
0,2.622,-75.5078531134408
0,2.628,-75.6792859403421
0,2.634,-75.8470135613592
0,2.64,-76.0112713526121
0,2.646,-76.1722808769372
0,2.652,-76.330251118245
0,2.658,-76.485379583512
0,2.664,-76.6378532875184
0,2.67,-76.7878496331551
0,2.676,-76.9355371981725
0,2.682,-77.0810764375552
0,2.688,-77.2246203092507
0,2.694,-77.366314829693
0,2.7,-77.5062995644266
0,2.706,-77.6447080581164
0,2.712,-77.7816682072959
0,2.718,-77.91730257835
0,2.724,-78.0517286724188
0,2.73,-78.1850591381378
0,2.736,-78.317401932377
0,2.742,-78.448860428399
0,2.748,-78.5795334701046
0,2.754,-78.7095153702728
0,2.76,-78.8388958499056
0,2.766,-78.9677599149619
0,2.772,-79.0961876658883
0,2.778,-79.2242540344223
0,2.784,-79.3520284411558
0,2.79,-79.4795743662815
0,2.796,-79.6069488248182
0,2.802,-79.7342017364076
0,2.808,-79.8613751785023
0,2.814,-79.9885025104419
0,2.82,-80.1156073545373
0,2.826,-80.2427024189041
0,2.832,-80.3697881454238
0,2.838,-80.4968511649361
0,2.844,-80.6238625406518
0,2.85,-80.7507757799251
0,2.856,-80.8775245940849
0,2.862,-81.0040203861655
0,2.868,-81.13014944733
0,2.874,-81.2557698448256
0,2.88,-81.3807079877811
0,2.886,-81.5047548624575
0,2.892,-81.6276619361446
0,2.898,-81.7491367392545
0,2.904,-81.8688381488019
0,2.91,-81.986371413845
0,2.916,-82.1012829849343
0,2.922,-82.2130552352837
0,2.928,-82.3211011909283
0,2.934,-82.4247594196651
0,2.94,-82.52328926227
0,2.946,-82.6158666214044
0,2.952,-82.7015805493379
0,2.958,-82.7794308890427
0,2.964,-82.8483272165334
0,2.97,-82.9070892961984
0,2.976,-82.9544491850803
0,2.982,-82.9890549966726
0,2.988,-83.0094761519459
0,2.994,-83.0142097014754
0,3,-83.0016870012023
0,3.006,-82.9702796785216
0,3.012,-82.9183034597435
0,3.018,-82.8440180824064
0,3.024,-82.7456212394844
0,3.03,-82.6212343705045
0,3.036,-82.4688782354476
0,3.042,-82.2864367632983
0,3.048,-82.0716090042814
0,3.054,-81.8218518421557
0,3.06,-81.5343219433797
0,3.066,-81.2058374646467
0,3.072,-80.8329053099048
0,3.078,-80.4119134727916
0,3.084,-79.9397033979316
0,3.09,-79.4149849718395
0,3.096,-78.8415757112155
0,3.102,-78.2354437909576
0,3.108,-77.6389668064764
0,3.114,-77.1455164936577
0,3.12,-76.9256454955062
0,3.126,-77.2082619824854
0,3.132,-78.157410245536
0,3.138,-79.7384359733322
0,3.144,-81.7695780556544
0,3.15,-84.078775261216
0,3.156,-86.5743550458698
0,3.162,-89.2256481710748
0,3.168,-91.9991358485144
0,3.174,-94.7148860025809
0,3.18,-96.7732685367481
0,3.186,-97.3228547577832
0,3.192,-96.4967066035397
0,3.198,-95.1893282186126
0,3.204,-93.9117041535733
0,3.21,-92.7978963875998
0,3.216,-91.8520636446992
0,3.222,-91.0488913773904
0,3.228,-90.3613930927055
0,3.234,-89.7670034345655
0,3.24,-89.2479985761503
0,3.246,-88.7906659057649
0,3.252,-88.3843782585056
0,3.258,-88.0208317707051
0,3.264,-87.693468349494
0,3.27,-87.3970493739592
0,3.276,-87.1273426736947
0,3.282,-86.8808918246128
0,3.288,-86.6548447893847
0,3.294,-86.4468254211042
0,3.3,-86.2548361274344
0,3.306,-86.0771833841872
0,3.312,-85.9124201647747
0,3.318,-85.7593010162188
0,3.324,-85.6167466821935
0,3.33,-85.483816001529
0,3.336,-85.3596834015587
0,3.342,-85.243620731273
0,3.348,-85.1349824885899
0,3.354,-85.0331937229493
0,3.36,-84.9377400623724
0,3.366,-84.8481594394859
0,3.372,-84.7640351853698
0,3.378,-84.6849902316844
0,3.384,-84.6106822162605
0,3.39,-84.5407993294845
0,3.396,-84.4750567714841
0,3.402,-84.4131937156259
0,3.408,-84.3549706938598
0,3.414,-84.3001673352718
0,3.42,-84.2485804017744
0,3.426,-84.2000220749092
0,3.432,-84.1543184557984
0,3.438,-84.1113082467932
0,3.444,-84.0708415886412
0,3.45,-84.0327790312974
0,3.456,-83.9969906200191
0,3.462,-83.9633550812762
0,3.468,-83.9317590953943
0,3.474,-83.9020966448233
0,3.48,-83.8742684285663
0,3.486,-83.848181334678
0,3.492,-83.8237479638867
0,3.498,-83.8008861983639
0,3.504,-83.7795188104772
0,3.51,-83.7595731070537
0,3.516,-83.7409806052661
0,3.522,-83.7236767367513
0,3.528,-83.7076005770007
0,3.534,-83.6926945974221
0,3.54,-83.6789044377916
0,3.546,-83.6661786970817
0,3.552,-83.6544687408867
0,3.558,-83.6437285238689
0,3.564,-83.6339144258271
0,3.57,-83.6249851001398
0,3.576,-83.6169013334717
0,3.582,-83.6096259157499
0,3.588,-83.6031235195179
0,3.594,-83.5973605878676
0,3.6,-83.5923052302291
30,1.2,-87.5113078372104
30,1.206,-87.4358829670113
30,1.212,-87.3614184920748
30,1.218,-87.2882902130313
30,1.224,-87.2169343987849
30,1.23,-87.1478554717103
30,1.236,-87.0816341959997
30,1.242,-87.0189362228487
30,1.248,-86.9605207646066
30,1.254,-86.9072490673346
30,1.26,-86.8600922269465
30,1.266,-86.8201377506232
30,1.272,-86.7885941093664
30,1.278,-86.7667923725918
30,1.284,-86.7561838829426
30,1.29,-86.7583328496556
30,1.296,-86.7749027512436
30,1.302,-86.8076355877639
30,1.308,-86.8583233524332
30,1.314,-86.9287716309598
30,1.32,-87.0207559846973
30,1.326,-87.135972685676
30,1.332,-87.2759863476421
30,1.338,-87.4421778844129
30,1.344,-87.6356968401326
30,1.35,-87.857422298362
30,1.356,-88.1079361708031
30,1.362,-88.3875116802924
30,1.368,-88.6961184032417
30,1.374,-89.0334435533298
30,1.38,-89.3989275597621
30,1.386,-89.7918106937753
30,1.392,-90.2111867164247
30,1.398,-90.6560593251353
30,1.404,-91.1253975076209
30,1.41,-91.6181866199516
30,1.416,-92.1334729002158
30,1.422,-92.6704000267268
30,1.428,-93.2282370853693
30,1.434,-93.8063978304255
30,1.44,-94.4044513578446
30,1.446,-95.022124238167
30,1.452,-95.6592937633672
30,1.458,-96.315971217404
30,1.464,-96.9922729177529
30,1.47,-97.6883750730429
30,1.476,-98.4044460674004
30,1.482,-99.1405463452394
30,1.488,-99.8964813083258
30,1.494,-100.671586284112
30,1.5,-101.464414789426
30,1.506,-102.272293262221
30,1.512,-103.090701292995
30,1.518,-103.912446377944
30,1.524,-104.726647484737
30,1.53,-105.517657686321
30,1.536,-106.264281785342
30,1.542,-106.939969582146
30,1.548,-107.514909157275
30,1.554,-107.960658886247
30,1.56,-108.256684681282
30,1.566,-108.39630840846
30,1.572,-108.388868676869
30,1.578,-108.256766846295
30,1.584,-108.029189863411
30,1.59,-107.735757292879
30,1.596,-107.402303764634
30,1.602,-107.049153902364
30,1.608,-106.691144248932
30,1.614,-106.338486312271
30,1.62,-105.997845449712
30,1.626,-105.673324837794
30,1.632,-105.367249826358
30,1.638,-105.080749501901
30,1.644,-104.814169770053
30,1.65,-104.567358898903
30,1.656,-104.339861258013
30,1.662,-104.131046871965
30,1.668,-103.940196869975
30,1.674,-103.766558946939
30,1.68,-103.609382565293
30,1.686,-103.467940526292
30,1.692,-103.341541393659
30,1.698,-103.229535784601
30,1.704,-103.131318543832
30,1.71,-103.046328136332
30,1.716,-102.974044130372
30,1.722,-102.913983323127
30,1.728,-102.865694838943
30,1.734,-102.828754372527
30,1.74,-102.802757634047
30,1.746,-102.787312965586
30,1.752,-102.782033028676
30,1.758,-102.786525404407
30,1.764,-102.800381897173
30,1.77,-102.823166289194
30,1.776,-102.854400256575
30,1.782,-102.893547132559
30,1.788,-102.939993197254
30,1.794,-102.993026196931
30,1.8,-103.051810867882
30,1.806,-103.115361384347
30,1.812,-103.182510900104
30,1.818,-103.251878749677
30,1.824,-103.321836462951
30,1.83,-103.390474567705
30,1.836,-103.45557322894
30,1.842,-103.514581073403
30,1.848,-103.564607954191
30,1.854,-103.602438666705
30,1.86,-103.624575299912
30,1.866,-103.627315390685
30,1.872,-103.606870667698
30,1.878,-103.559526415629
30,1.884,-103.481834387162
30,1.89,-103.37082368603
30,1.896,-103.224206155574
30,1.902,-103.040548254031
30,1.908,-102.819382627061
30,1.914,-102.561240510632
30,1.92,-102.267599251168
30,1.926,-101.94075404026
30,1.932,-101.583635148137
30,1.938,-101.199598332932
30,1.944,-100.792215819458
30,1.95,-100.365089656448
30,1.956,-99.9217009983675
30,1.962,-99.4653005389895
30,1.968,-98.9988387247407
30,1.974,-98.52493020041
30,1.98,-98.0458450524303
30,1.986,-97.5635192379767
30,1.992,-97.0795774461503
30,1.998,-96.595362961009
30,2.004,-96.1119704946965
30,2.01,-95.6302792122551
30,2.016,-95.1509841848812
30,2.022,-94.674625271766
30,2.028,-94.2016129699454
30,2.034,-93.7322511302766
30,2.04,-93.2667566605167
30,2.046,-92.8052764626218
30,2.052,-92.3479019118586
30,2.058,-91.8946812032489
30,2.064,-91.4456298825377
30,2.07,-91.0007398551114
30,2.076,-90.5599871337021
30,2.082,-90.1233385476484
30,2.088,-89.6907575935633
30,2.094,-89.2622095575785
30,2.1,-88.8376659780708
30,2.106,-88.4171084362038
30,2.112,-88.0005315451663
30,2.118,-87.5879448336836
30,2.124,-87.1793729458702
30,2.13,-86.7748531426614
30,2.136,-86.3744283812742
30,2.142,-85.978133085858
30,2.148,-85.5859667959917
30,2.154,-85.1978476665459
30,2.16,-84.8135324073727
30,2.166,-84.4324802154544
30,2.172,-84.0536231701453
30,2.178,-83.6749808182937
30,2.184,-83.2930177025634
30,2.19,-82.90158667414
30,2.196,-82.49023841077
30,2.202,-82.0416668666
30,2.208,-81.5282917191232
30,2.214,-80.9089053773988
30,2.22,-80.1285747702482
30,2.226,-79.1281931862199
30,2.232,-77.8697504302238
30,2.238,-76.3717713700797
30,2.244,-74.7307194086393
30,2.25,-73.1026313917903
30,2.256,-71.6441497802707
30,2.262,-70.4449698562781
30,2.268,-69.5007208391542
30,2.274,-68.7430277575407
30,2.28,-68.088854602249
30,2.286,-67.4700894542562
30,2.292,-66.8395636206202
30,2.298,-66.1661607766652
30,2.304,-65.4281360881043
30,2.31,-64.6076895161521
30,2.316,-63.6869013903615
30,2.322,-62.6442879851444
30,2.328,-61.4510260699304
30,2.334,-60.0655944685773
30,2.34,-58.4247159897676
30,2.346,-56.4263576114307
30,2.352,-53.8964983709728
30,2.358,-50.539056608259
30,2.364,-46.1879353211063
30,2.37,-44.5481589772905
30,2.376,-48.5653217206652
30,2.382,-52.2883435698582
30,2.388,-55.0323852958992
30,2.394,-57.135765071386
30,2.4,-58.8222163698849
30,2.406,-60.2214933453177
30,2.412,-61.4125719740265
30,2.418,-62.4464263847528
30,2.424,-63.3576716811296
30,2.43,-64.1708196096173
30,2.436,-64.9038360330697
30,2.442,-65.5702710094163
30,2.448,-66.1805924523161
30,2.454,-66.7430537847013
30,2.46,-67.26427734865
30,2.466,-67.7496580515901
30,2.472,-68.2036496759474
30,2.478,-68.6299724465724
30,2.484,-69.0317664460703
30,2.49,-69.4117069702167
30,2.496,-69.772092608798
30,2.502,-70.1149134368216
30,2.508,-70.4419044711707
30,2.514,-70.7545880545914
30,2.52,-71.0543078098165
30,2.526,-71.3422560989832
30,2.532,-71.6194964242528
30,2.538,-71.8869818481565
30,2.544,-72.1455702529036
30,2.55,-72.3960370674267
30,2.556,-72.6390859494057
30,2.562,-72.875357803218
30,2.568,-73.1054384341179
30,2.574,-73.3298650772001
30,2.58,-73.5491319919937
30,2.586,-73.763695276371
30,2.592,-73.9739770242749
30,2.598,-74.1803689286831
30,2.604,-74.3832354128261
30,2.61,-74.5829163579125
30,2.616,-74.779729483675
30,2.622,-74.9739724283356
30,2.628,-75.1659245666249
30,2.634,-75.3558485979071
30,2.64,-75.5439919309894
30,2.646,-75.7305878875883
30,2.652,-75.9158567425344
30,2.658,-76.1000066154466
30,2.664,-76.2832342257202
30,2.67,-76.4657255201195
30,2.676,-76.6476561800036
30,2.682,-76.829192013151
30,2.688,-77.0104892332578
30,2.694,-77.1916946283982
30,2.7,-77.372945618041
30,2.706,-77.5543701965575
30,2.712,-77.7360867595338
30,2.718,-77.9182038075686
30,2.724,-78.1008195206087
30,2.73,-78.2840211942147
30,2.736,-78.4678845274829
30,2.742,-78.6524727506689
30,2.748,-78.8378355788986
30,2.754,-79.0240079767461
30,2.76,-79.2110087169695
30,2.766,-79.3988387154161
30,2.772,-79.5874791231514
30,2.778,-79.776889156414
30,2.784,-79.9670036452551
30,2.79,-80.1577302829909
30,2.796,-80.3489465612293
30,2.802,-80.5404963796963
30,2.808,-80.7321863269279
30,2.814,-80.9237816377696
30,2.82,-81.1150018472928
30,2.826,-81.305516179009
30,2.832,-81.4949387289866
30,2.838,-81.6828235374205
30,2.844,-81.8686596759359
30,2.85,-82.0518665225678
30,2.856,-82.2317894464162
30,2.862,-82.4076961788215
30,2.868,-82.578774204495
30,2.874,-82.7441295593957
30,2.88,-82.9027874650464
30,2.886,-83.053695251743
30,2.892,-83.1957280138569
30,2.898,-83.3276973858844
30,2.904,-83.4483637150691
30,2.91,-83.5564517251548
30,2.916,-83.6506695121824
30,2.922,-83.7297303931941
30,2.928,-83.7923767612756
30,2.934,-83.8374047189951
30,2.94,-83.8636879130456
30,2.946,-83.8701987286959
30,2.952,-83.8560248735637
30,2.958,-83.8203794213197
30,2.964,-83.7626026056315
30,2.97,-83.6821540271128
30,2.976,-83.578594400416
30,2.982,-83.4515564363068
30,2.988,-83.3007048214524
30,2.994,-83.1256854240801
30,3,-82.9260637255331
30,3.006,-82.7012519788972
30,3.012,-82.4504236530711
30,3.018,-82.1724122405724
30,3.024,-81.8655893365281
30,3.03,-81.5277137597519
30,3.036,-81.1557388930218
30,3.042,-80.7455585040637
30,3.048,-80.2916605638177
30,3.054,-79.7866413777145
30,3.06,-79.2205041162796
30,3.066,-78.5796187487592
30,3.072,-77.845142024251
30,3.078,-76.9905722658278
30,3.084,-75.9779603788763
30,3.09,-74.7523683464034
30,3.096,-73.2362078281195
30,3.102,-71.3403986643827
30,3.108,-69.1088681980443
30,3.114,-67.5098263370945
30,3.12,-68.8306709789698
30,3.126,-72.2153549199276
30,3.132,-75.6587463419752
30,3.138,-78.7528387153881
30,3.144,-81.5646646352912
30,3.15,-84.1970658812616
30,3.156,-86.7209349188797
30,3.162,-89.15571164063
30,3.168,-91.4319573433723
30,3.174,-93.3326567651456
30,3.18,-94.5158641697494
30,3.186,-94.7912473087112
30,3.192,-94.363677659842
30,3.198,-93.6035948659536
30,3.204,-92.7658902407753
30,3.21,-91.9648858503878
30,3.216,-91.2380217064471
30,3.222,-90.5907054214064
30,3.228,-90.0170055632048
30,3.234,-89.5079345878713
30,3.24,-89.0545015757431
30,3.246,-88.6487004250102
30,3.252,-88.2837142872083
30,3.258,-87.9538419360349
30,3.264,-87.6543427647264
30,3.27,-87.3812742552231
30,3.276,-87.131346981166
30,3.282,-86.9018031644063
30,3.288,-86.6903177824691
30,3.294,-86.4949190320276
30,3.3,-86.3139246394764
30,3.306,-86.1458908613475
30,3.312,-85.9895715450474
30,3.318,-85.8438851373548
30,3.324,-85.7078879729502
30,3.33,-85.580752536946
30,3.336,-85.4617496814082
30,3.342,-85.3502339988976
30,3.348,-85.2456317288824
30,3.354,-85.1474307065116
30,3.36,-85.0551719666473
30,3.366,-84.9684426962573
30,3.372,-84.8868702906802
30,3.378,-84.810117318041
30,3.384,-84.7378772343618
30,3.39,-84.6698707220814
30,3.396,-84.6058425485955
30,3.402,-84.5455588604478
30,3.408,-84.4888048440131
30,3.414,-84.4353826957255
30,3.42,-84.3851098547703
30,3.426,-84.3378174591457
30,3.432,-84.2933489925085
30,3.438,-84.2515590945368
30,3.444,-84.2123125119083
30,3.45,-84.1754831705906
30,3.456,-84.1409533531176
30,3.462,-84.1086129669954
30,3.468,-84.0783588924422
30,3.474,-84.0500943993874
30,3.48,-84.0237286251002
30,3.486,-83.9991761050328
30,3.492,-83.9763563504918
30,3.498,-83.9551934676189
30,3.504,-83.9356158128996
30,3.51,-83.9175556810513
30,3.516,-83.9009490216744
30,3.522,-83.8857351815137
30,3.528,-83.8718566695704
30,3.534,-83.8592589426459
30,3.54,-83.8478902091909
30,3.546,-83.8377012495888
30,3.552,-83.8286452512205
30,3.558,-83.8206776568491
30,3.564,-83.8137560250316
30,3.57,-83.8078399014054
30,3.576,-83.8028906998301
30,3.582,-83.7988715924713
30,3.588,-83.7957474080136
30,3.594,-83.7934845372754
30,3.6,-83.7920508455725
60,1.2,-90.3972231600255
60,1.206,-90.3722857463859
60,1.212,-90.345684696275
60,1.218,-90.3172880851012
60,1.224,-90.2869515061183
60,1.23,-90.2545166513219
60,1.236,-90.2198097029557
60,1.242,-90.1826395070342
60,1.248,-90.1427954956571
60,1.254,-90.100045319531
60,1.26,-90.0541321459618
60,1.266,-90.0047715705867
60,1.272,-89.9516480832926
60,1.278,-89.8944110202202
60,1.284,-89.832669924785
60,1.29,-89.7659892318545
60,1.296,-89.6938821817626
60,1.302,-89.6158038667627
60,1.308,-89.5311433154032
60,1.314,-89.4392145362679
60,1.32,-89.3392464819704
60,1.326,-89.2303719748049
60,1.332,-89.1116157868304
60,1.338,-88.9818823398676
60,1.344,-88.8399439709333
60,1.35,-88.6844315431968
60,1.356,-88.5138306249425
60,1.362,-88.3264889472432
60,1.368,-88.1206451442414
60,1.374,-87.8944961912929
60,1.38,-87.6463337330433
60,1.386,-87.3748013767856
60,1.392,-87.0793618589582
60,1.398,-86.7611225639236
60,1.404,-86.4242558990262
60,1.41,-86.0783535912665
60,1.416,-85.7420820536388
60,1.422,-85.4481633493569
60,1.428,-85.2483203957352
60,1.434,-85.2136798430922
60,1.44,-85.4228273735654
60,1.446,-85.93385761389
60,1.452,-86.7544203414776
