"crack_rot [deg]","Freq [GHz]","dB(S(1,1)) []"
0,1.2,-0.362104744920133
0,1.206,-0.36363022823709
0,1.212,-0.36520651906106
0,1.218,-0.366831418482131
0,1.224,-0.368502787867475
0,1.23,-0.370218548712806
0,1.236,-0.371976682436403
0,1.242,-0.373775230118181
0,1.248,-0.375612292186237
0,1.254,-0.377486028053305
0,1.26,-0.379394655705454
0,1.266,-0.381336451245459
0,1.272,-0.383309748393088
0,1.278,-0.385312937944635
0,1.284,-0.387344467193944
0,1.29,-0.389402839317129
0,1.296,-0.39148661272318
0,1.302,-0.393594400372598
0,1.308,-0.395724869066184
0,1.314,-0.397876738706025
0,1.32,-0.400048781530749
0,1.326,-0.402239821327032
0,1.332,-0.404448732619349
0,1.338,-0.406674439839853
0,1.344,-0.408915916480372
0,1.35,-0.411172184228288
0,1.356,-0.41344231208823
0,1.362,-0.41572541549131
0,1.368,-0.418020655393726
0,1.374,-0.420327237366458
0,1.38,-0.422644410677779
0,1.386,-0.424971467370254
0,1.392,-0.427307741333923
0,1.398,-0.429652607377263
0,1.404,-0.43200548029759
0,1.41,-0.434365813952451
0,1.416,-0.436733100333603
0,1.422,-0.439106868645109
0,1.428,-0.441486684387106
0,1.434,-0.443872148446736
0,1.44,-0.446262896197749
0,1.446,-0.448658596610251
0,1.452,-0.451058951372099
0,1.458,-0.453463694023366
0,1.464,-0.455872589105342
0,1.47,-0.458285431325506
0,1.476,-0.460702044739951
0,1.482,-0.463122281954602
0,1.488,-0.46554602334676
0,1.494,-0.467973176308348
0,1.5,-0.470403674512291
0,1.506,-0.472837477203496
0,1.512,-0.475274568515869
0,1.518,-0.477714956816829
0,1.524,-0.480158674080764
0,1.53,-0.482605775292972
0,1.536,-0.485056337885546
0,1.542,-0.487510461206753
0,1.548,-0.489968266025469
0,1.554,-0.492429894072265
0,1.56,-0.494895507618765
0,1.566,-0.497365289096924
0,1.572,-0.499839440760007
0,1.578,-0.502318184386953
0,1.584,-0.504801761032031
0,1.59,-0.507290430821625
0,1.596,-0.509784472800166
0,1.602,-0.512284184827185
0,1.608,-0.51478988352774
0,1.614,-0.517301904298356
0,1.62,-0.51982060137089
0,1.626,-0.522346347936741
0,1.632,-0.524879536334127
0,1.638,-0.527420578301029
0,1.644,-0.529969905296871
0,1.65,-0.532527968895946
0,1.656,-0.535095241255952
0,1.662,-0.537672215665099
0,1.668,-0.540259407171609
0,1.674,-0.542857353299577
0,1.68,-0.545466614855556
0,1.686,-0.548087776830422
0,1.692,-0.550721449401618
0,1.698,-0.553368269040965
0,1.704,-0.556028899733993
0,1.71,-0.558704034316881
0,1.716,-0.561394395937869
0,1.722,-0.564100739650351
0,1.728,-0.566823854145593
0,1.734,-0.569564563633646
0,1.74,-0.572323729881783
0,1.746,-0.575102254420542
0,1.752,-0.577901080928421
0,1.758,-0.580721197807189
0,1.764,-0.583563640960899
0,1.77,-0.586429496792865
0,1.776,-0.589319905436139
0,1.782,-0.592236064234524
0,1.788,-0.595179231492744
0,1.794,-0.598150730516082
0,1.8,-0.601151953961893
0,1.806,-0.604184368527361
0,1.812,-0.607249520000461
0,1.818,-0.610349038703525
0,1.824,-0.613484645361972
0,1.83,-0.616658157433752
0,1.836,-0.619871495938922
0,1.842,-0.623126692832654
