"d [mm]","Freq [GHz]","dB(S(1,1)) []"
2,1.764,-1.36433895276008
2,1.77,-1.40083507146949
2,1.776,-1.43812423068021
2,1.782,-1.47615665188157
2,1.788,-1.51488722871976
2,1.794,-1.55427552036877
2,1.8,-1.59428567132874
2,1.806,-1.63488627520331
2,1.812,-1.67605019839928
2,1.818,-1.71775437779683
2,1.824,-1.75997960441811
2,1.83,-1.80271030310505
2,1.836,-1.84593431629871
2,1.842,-1.88964269825713
2,1.848,-1.93382952449667
2,1.854,-1.97849171991131
2,1.86,-2.02362890791848
2,1.866,-2.06924328208995
2,1.872,-2.11533950103521
2,1.878,-2.16192460679299
2,1.884,-2.20900796662925
2,1.89,-2.25660123791629
2,1.896,-2.30471835565339
2,1.902,-2.35337554216638
2,1.908,-2.40259133857226
2,1.914,-2.45238665770198
2,1.92,-2.5027848583254
2,1.926,-2.55381184070829
2,1.932,-2.60549616374302
2,1.938,-2.65786918412622
2,1.944,-2.71096521830312
2,1.95,-2.76482172815552
2,1.956,-2.8194795316757
2,1.962,-2.87498304013766
2,1.968,-2.93138052354895
2,1.974,-2.98872440643366
2,1.98,-3.04707159625734
2,1.986,-3.10648384704698
2,1.992,-3.16702816097346
2,1.998,-3.22877723083176
2,2.004,-3.29180992645341
2,2.01,-3.35621182808036
2,2.016,-3.42207580957444
2,2.022,-3.48950267396551
2,2.028,-3.55860184316635
2,2.034,-3.6294921025796
2,2.04,-3.70230239962701
2,2.046,-3.7771726927169
2,2.052,-3.85425484352862
2,2.058,-3.93371354032025
2,2.064,-4.01572723270833
2,2.07,-4.10048904828744
2,2.076,-4.18820764757394
2,2.082,-4.279107954777
2,2.088,-4.37343167612581
2,2.094,-4.47143748271739
2,2.1,-4.57340068829086
2,2.106,-4.67961219048049
2,2.112,-4.79037636270789
2,2.118,-4.90600747804591
2,2.124,-5.02682411090675
2,2.13,-5.153140792562
2,2.136,-5.28525598976176
2,2.142,-5.42343523485626
2,2.148,-5.56788797434634
2,2.154,-5.71873645387943
2,2.16,-5.87597478797688
2,2.166,-6.03941639183034
2,2.172,-6.2086283774403
